SOCCode	Dgroup	average_scale	tot_emp	major_occ	annual_earnings	scale_rank	SOCTitle	jobzone	type
11-2031	Performing complex and technical activities	32.504422689	60380	Management	104140	3	Public Relations and Fundraising Managers	4	1
11-2031	Performing physical and manual work	24.362036722	60380	Management	104140	2	Public Relations and Fundraising Managers	4	1
11-2031	Reasoning and decision making	76.56177793	60380	Management	104140	0	Public Relations and Fundraising Managers	4	1
11-3011	Administering	58.522210675	270080	Management	86110	0	Administrative Services Managers	3	1
11-3011	Communicating and interacting	60.844892928	270080	Management	86110	1	Administrative Services Managers	3	1
11-3011	Coordinating, developing, managing, and advising	51.827914199	270080	Management	86110	1	Administrative Services Managers	3	1
11-3011	Information and data processing	65.159877455	270080	Management	86110	0	Administrative Services Managers	3	1
11-3011	Information input	56.756189438	270080	Management	86110	2	Administrative Services Managers	3	1
11-3011	Performing complex and technical activities	40.55661277	270080	Management	86110	2	Administrative Services Managers	3	1
11-3011	Performing physical and manual work	32.363398649	270080	Management	86110	3	Administrative Services Managers	3	1
11-3011	Reasoning and decision making	64.989888847	270080	Management	86110	1	Administrative Services Managers	3	1
11-3021	Administering	65.590176448	341250	Management	131600	0	Computer and Information Systems Managers	4	1
11-3021	Communicating and interacting	67.492944086	341250	Management	131600	0	Computer and Information Systems Managers	4	1
11-3021	Coordinating, developing, managing, and advising	76.84517037	341250	Management	131600	0	Computer and Information Systems Managers	4	1
11-3021	Information and data processing	74.712458918	341250	Management	131600	0	Computer and Information Systems Managers	4	1
11-3021	Information input	71.535264397	341250	Management	131600	0	Computer and Information Systems Managers	4	1
11-3021	Performing complex and technical activities	60.485713978	341250	Management	131600	0	Computer and Information Systems Managers	4	1
11-3021	Performing physical and manual work	38.331095035	341250	Management	131600	1	Computer and Information Systems Managers	4	1
11-3021	Reasoning and decision making	78.745572471	341250	Management	131600	0	Computer and Information Systems Managers	4	1
11-3031	Administering	57.545440507	531120	Management	117990	0	Financial Managers	5	1
11-3031	Communicating and interacting	63.078887794	531120	Management	117990	2	Financial Managers	5	1
11-3031	Coordinating, developing, managing, and advising	71.014427238	531120	Management	117990	0	Financial Managers	5	1
11-3031	Information and data processing	70.556700972	531120	Management	117990	1	Financial Managers	5	1
11-3031	Information input	55.291716442	531120	Management	117990	3	Financial Managers	5	1
11-3031	Performing complex and technical activities	31.648422775	531120	Management	117990	3	Financial Managers	5	1
11-3031	Performing physical and manual work	17.966283958	531120	Management	117990	3	Financial Managers	5	1
11-3031	Reasoning and decision making	72.001319133	531120	Management	117990	2	Financial Managers	5	1
11-3051	Administering	59.013272126	169390	Management	93940	0	Industrial Production Managers	4	1
11-3051	Communicating and interacting	59.331684369	169390	Management	93940	2	Industrial Production Managers	4	1
11-3051	Coordinating, developing, managing, and advising	69.060988158	169390	Management	93940	0	Industrial Production Managers	4	1
11-3051	Information and data processing	69.90947373	169390	Management	93940	1	Industrial Production Managers	4	1
11-3051	Information input	70.30728767	169390	Management	93940	0	Industrial Production Managers	4	1
11-3051	Performing complex and technical activities	55.359869097	169390	Management	93940	0	Industrial Production Managers	4	1
11-3051	Performing physical and manual work	43.207611273	169390	Management	93940	0	Industrial Production Managers	4	1
11-3051	Reasoning and decision making	72.069174229	169390	Management	93940	1	Industrial Production Managers	4	1
11-3061	Administering	67.685465718	72600	Management	108120	0	Purchasing Managers	4	1
11-3061	Communicating and interacting	67.472696548	72600	Management	108120	0	Purchasing Managers	4	1
11-3061	Coordinating, developing, managing, and advising	69.934058537	72600	Management	108120	0	Purchasing Managers	4	1
11-3061	Information and data processing	65.94223379	72600	Management	108120	2	Purchasing Managers	4	1
11-3061	Information input	59.746836647	72600	Management	108120	2	Purchasing Managers	4	1
11-3061	Performing complex and technical activities	35.118063342	72600	Management	108120	2	Purchasing Managers	4	1
11-3061	Performing physical and manual work	20.953228088	72600	Management	108120	3	Purchasing Managers	4	1
11-3061	Reasoning and decision making	70.833100442	72600	Management	108120	2	Purchasing Managers	4	1
11-3071	Administering	62.206192173	109210	Management	86630	0	Transportation, Storage, and Distribution Managers	4	1
11-3071	Communicating and interacting	59.078373146	109210	Management	86630	2	Transportation, Storage, and Distribution Managers	4	1
11-3071	Coordinating, developing, managing, and advising	68.139484789	109210	Management	86630	0	Transportation, Storage, and Distribution Managers	4	1
11-3071	Information and data processing	64.816191153	109210	Management	86630	2	Transportation, Storage, and Distribution Managers	4	1
11-3071	Information input	60.854789403	109210	Management	86630	2	Transportation, Storage, and Distribution Managers	4	1
11-3071	Performing complex and technical activities	39.649356415	109210	Management	86630	2	Transportation, Storage, and Distribution Managers	4	1
11-3071	Performing physical and manual work	36.100721629	109210	Management	86630	1	Transportation, Storage, and Distribution Managers	4	1
11-3071	Reasoning and decision making	68.59887493	109210	Management	86630	2	Transportation, Storage, and Distribution Managers	4	1
11-3111	Administering	56.028271921	15930	Management	111430	0	Compensation and Benefits Managers	4	1
11-3111	Communicating and interacting	60.261780266	15930	Management	111430	2	Compensation and Benefits Managers	4	1
11-3111	Coordinating, developing, managing, and advising	63.317976366	15930	Management	111430	1	Compensation and Benefits Managers	4	1
11-3111	Information and data processing	73.348897779	15930	Management	111430	0	Compensation and Benefits Managers	4	1
11-3111	Information input	53.95322576	15930	Management	111430	3	Compensation and Benefits Managers	4	1
11-3111	Performing complex and technical activities	25.110065336	15930	Management	111430	3	Compensation and Benefits Managers	4	1
11-3111	Performing physical and manual work	11.374930904	15930	Management	111430	3	Compensation and Benefits Managers	4	1
11-3111	Reasoning and decision making	71.23353949	15930	Management	111430	1	Compensation and Benefits Managers	4	1
11-3121	Administering	65.495684156	122780	Management	104440	0	Human Resources Managers	4	1
11-3121	Communicating and interacting	71.395781156	122780	Management	104440	0	Human Resources Managers	4	1
11-3121	Coordinating, developing, managing, and advising	71.1345449	122780	Management	104440	0	Human Resources Managers	4	1
11-3121	Information and data processing	72.390088723	122780	Management	104440	0	Human Resources Managers	4	1
11-3121	Information input	52.997205153	122780	Management	104440	3	Human Resources Managers	4	1
11-3121	Performing complex and technical activities	30.630827613	122780	Management	104440	3	Human Resources Managers	4	1
11-3121	Performing physical and manual work	18.938270073	122780	Management	104440	3	Human Resources Managers	4	1
11-3121	Reasoning and decision making	70.851528618	122780	Management	104440	2	Human Resources Managers	4	1
11-3131	Administering	62.90526557	31430	Management	102640	0	Training and Development Managers	4	1
11-3131	Communicating and interacting	66.270938247	31430	Management	102640	1	Training and Development Managers	4	1
11-3131	Coordinating, developing, managing, and advising	77.188890367	31430	Management	102640	0	Training and Development Managers	4	1
11-3131	Information and data processing	64.424284575	31430	Management	102640	2	Training and Development Managers	4	1
11-3131	Information input	61.019587473	31430	Management	102640	1	Training and Development Managers	4	1
11-3131	Performing complex and technical activities	34.696985861	31430	Management	102640	2	Training and Development Managers	4	1
11-3131	Performing physical and manual work	32.111496344	31430	Management	102640	1	Training and Development Managers	4	1
11-3131	Reasoning and decision making	77.850990582	31430	Management	102640	0	Training and Development Managers	4	1
11-9013	Administering	63.282685249	4370	Management	64170	0	Farmers, Ranchers, and Other Agricultural Managers	4	1
11-9013	Communicating and interacting	61.10481751	4370	Management	64170	2	Farmers, Ranchers, and Other Agricultural Managers	4	1
11-9013	Coordinating, developing, managing, and advising	60.718963181	4370	Management	64170	1	Farmers, Ranchers, and Other Agricultural Managers	4	1
11-9013	Information and data processing	64.542735439	4370	Management	64170	2	Farmers, Ranchers, and Other Agricultural Managers	4	1
11-9013	Information input	68.37198166	4370	Management	64170	0	Farmers, Ranchers, and Other Agricultural Managers	4	1
11-9013	Performing complex and technical activities	52.562265258	4370	Management	64170	0	Farmers, Ranchers, and Other Agricultural Managers	4	1
11-9013	Performing physical and manual work	63.14676743	4370	Management	64170	0	Farmers, Ranchers, and Other Agricultural Managers	4	1
11-9013	Reasoning and decision making	73.514940022	4370	Management	64170	1	Farmers, Ranchers, and Other Agricultural Managers	4	1
11-9021	Administering	56.897305653	239640	Management	87400	0	Construction Managers	4	1
11-9021	Communicating and interacting	66.786049443	239640	Management	87400	0	Construction Managers	4	1
11-9021	Coordinating, developing, managing, and advising	67.294388605	239640	Management	87400	0	Construction Managers	4	1
11-9021	Information and data processing	67.214819707	239640	Management	87400	1	Construction Managers	4	1
11-9021	Information input	70.544853833	239640	Management	87400	0	Construction Managers	4	1
11-9021	Performing complex and technical activities	43.818079081	239640	Management	87400	1	Construction Managers	4	1
11-9021	Performing physical and manual work	36.484561369	239640	Management	87400	1	Construction Managers	4	1
11-9021	Reasoning and decision making	74.60796272	239640	Management	87400	0	Construction Managers	4	1
11-9031	Administering	64.492344933	46760	Management	45670	0	Education Administrators, Preschool and Childcare Center/Program	4	1
11-9031	Communicating and interacting	62.233169251	46760	Management	45670	1	Education Administrators, Preschool and Childcare Center/Program	4	1
11-9031	Coordinating, developing, managing, and advising	59.564162267	46760	Management	45670	1	Education Administrators, Preschool and Childcare Center/Program	4	1
11-9031	Information and data processing	58.219123181	46760	Management	45670	3	Education Administrators, Preschool and Childcare Center/Program	4	1
11-9031	Information input	50.857376576	46760	Management	45670	3	Education Administrators, Preschool and Childcare Center/Program	4	1
11-9031	Performing complex and technical activities	33.324338614	46760	Management	45670	3	Education Administrators, Preschool and Childcare Center/Program	4	1
11-9031	Performing physical and manual work	35.246614994	46760	Management	45670	1	Education Administrators, Preschool and Childcare Center/Program	4	1
11-9031	Reasoning and decision making	65.062292267	46760	Management	45670	3	Education Administrators, Preschool and Childcare Center/Program	4	1
11-9032	Administering	77.280192922	235110	Management	90410	0	Education Administrators, Elementary and Secondary School	5	1
11-9032	Communicating and interacting	77.058712789	235110	Management	90410	0	Education Administrators, Elementary and Secondary School	5	1
11-9032	Coordinating, developing, managing, and advising	83.974722314	235110	Management	90410	0	Education Administrators, Elementary and Secondary School	5	1
11-9032	Information and data processing	78.09393191	235110	Management	90410	0	Education Administrators, Elementary and Secondary School	5	1
